Date,Total Retail Sales of Consumer Goods Current Period(100 million yuan)
2010-01-01,
2011-01-01,17.053231336422225
2012-01-01,-4.097062574173583
2013-01-01,13.29812833685211
2014-01-01,11.97699955384872
2015-01-01,14.91272903545584
2016-01-01,10.464176624962128
2017-01-01,10.341900194734489
2018-01-01,3.7635824613528435
2019-01-01,8.027284332983653
2020-01-01,-1.6592160131996492
