DATE,Manufactured Consumable Goods for the Export Market
2009-01-01,
2010-01-01,-6.978879706152441
2011-01-01,-1.87561697926949
2012-01-01,10.160965794768595
2013-01-01,2.37442922374429
2014-01-01,-8.117752007136481
2015-01-01,-2.9126213592232997
2016-01-01,8.000000000000007
2017-01-01,4.5370370370370505
2018-01-01,1.3286093888396744
2019-01-01,2.2727272727272707
2020-01-01,1.4529914529914478
