Date,China,US,UK
2020-01-01,-1.6592160131996492,3.253346541605784,48.11215879178165
2019-01-01,8.027284332983653,2.7069041114564207,10.232005892213111
2018-01-01,3.763582461352844,4.13773550302603,14.4867591791636
2017-01-01,10.341900194734489,4.415782134239144,15.965033550257957
2016-01-01,10.464176624962128,2.348902420264909,21.10953435901624
2015-01-01,14.91272903545584,1.8685752952463772,12.527858833260574
2014-01-01,11.97699955384872,3.9549365073167975,13.410550727658864
2013-01-01,13.29812833685211,3.768944434316057,15.355596970061324
2012-01-01,-4.097062574173583,4.750712181225736,15.299703675463984
2011-01-01,17.053231336422225,7.468833335867098,18.065756899973408
2010-01-01,,,
