Date,Gross Domestic Product: CVM: NSA
2010-01-01,
2010-04-01,0.001957760235282713
2010-07-01,3.6720337250227386
2010-10-01,1.3292096710232348
2011-01-01,-2.6165066033868034
2011-04-01,-1.2575005634725245
2011-07-01,3.033265573318622
2011-10-01,1.8504817438919963
2012-01-01,-2.0780835747880255
2012-04-01,-1.4444768093680338
2012-07-01,3.064826154997613
2012-10-01,2.535907476099508
2013-01-01,-3.5085813162712975
2013-04-01,0.5919861876840127
2013-07-01,2.3455103635696473
2013-10-01,2.910926303253225
2014-01-01,-1.672905620569265
2014-04-01,0.03202574870195818
2014-07-01,1.3986769596484594
2014-10-01,2.7062760977843103
2015-01-01,-2.268177119559156
2015-04-01,0.5833007311410343
2015-07-01,1.602153143714924
2015-10-01,2.2388476033095905
2016-01-01,-2.501792236089706
2016-04-01,0.9923518275137377
2016-07-01,0.5350608153944725
2016-10-01,3.360355822506911
2017-01-01,-2.2475835993703397
2017-04-01,0.3265846693330188
2017-07-01,1.6949247887672492
2017-10-01,3.2970274939751576
2018-01-01,-3.615199797221791
2018-04-01,0.6002240885983445
2018-07-01,1.2236610052171804
2018-10-01,2.7214546433319553
2019-01-01,-2.6805142196498988
2019-04-01,0.6061741713770052
2019-07-01,0.4820898032400933
2019-10-01,3.5785306159175745
2020-01-01,-5.053339356452846
2020-04-01,-21.51242051328972
2020-07-01,16.165440705034804
2020-10-01,6.140880801042048
