Date,China,US,UK
2020-01-01,2.742157444710447,-74.78496050093408,-10.359900820127477
2019-01-01,7.313769422649941,4.1869573791378345,1.6416110173574916
2018-01-01,10.485736194106977,5.325349487644182,1.4037920748910526
2017-01-01,11.473951460017815,4.292438041425162,2.65506970161844
2016-01-01,8.352488218910658,2.787065976810421,1.9210633913266275
2015-01-01,7.038192065112492,3.900927742886173,2.220258308883105
2014-01-01,8.533361170919008,4.309393104689629,3.1957824776059907
2013-01-01,10.097575141139714,3.855754932487265,1.7923222178393594
2012-01-01,10.378261593994845,4.193908722082829,1.5129367590014375
2011-01-01,18.397808206945943,3.659788433375288,1.1451015455358204
2010-01-01,,,
