DATE,Industrial Exports of Goods
2010-01-01,
2011-01-01,6.569786448721326
2012-01-01,1.804763356119654
2013-01-01,4.037574383788267
2014-01-01,3.5231076446633702
2015-01-01,-0.034956851452627724
2016-01-01,1.7688574200646512
2017-01-01,8.67382634959668
2018-01-01,6.6639310940458385
2019-01-01,3.413062444833348
2020-01-01,-2.8852932977776025
