Date,China,US,UK
2020-10-01,,,6.140880801042048
2020-07-01,-10.575477608325311,,16.165440705034804
2020-04-01,-6.055477525167796,,-21.51242051328972
2020-01-01,-17.355868405465415,-0.8943179260345602,-5.053339356452846
2019-10-01,34.862369229330056,0.9592758128616596,3.5785306159175745
2019-07-01,-9.303427047883297,1.4473240892176609,0.4820898032400933
2019-04-01,-3.801569670614535,1.3297963958055048,0.6061741713770052
2019-01-01,-10.076206218897854,0.8904636404849731,-2.6805142196498988
2018-10-01,19.17434542702596,0.5728090128579888,2.7214546433319557
2018-07-01,-9.402536002432685,1.0583496008340187,1.2236610052171804
2018-04-01,-4.483263197715049,1.241401687567234,0.6002240885983445
2018-01-01,-9.790268179183805,1.4546275386922547,-3.615199797221791
2017-10-01,16.52826703399448,1.74935299283816,3.2970274939751576
2017-07-01,-9.616244748410042,1.3064286431928362,1.6949247887672492
2017-04-01,-5.093771162365779,0.8223978692209144,0.3265846693330188
2017-01-01,-9.94432788661368,0.9990110207356516,-2.24758359937034
2016-10-01,16.329727598688493,1.0413579595735856,3.360355822506911
2016-07-01,-9.715918705350855,0.9669724325451324,0.5350608153944725
2016-04-01,-5.027155561000274,1.002751116502476,0.9923518275137376
2016-01-01,-10.47262472148448,0.4925160035425868,-2.501792236089706
2015-10-01,18.57207068530262,0.1821089071150528,2.2388476033095905
2015-07-01,-8.29566361622014,0.6665396046255267,1.602153143714924
2015-04-01,-4.557250745621266,1.1971913129488865,0.5833007311410343
2015-01-01,-10.330365464904425,0.8455188255924728,-2.268177119559156
2014-10-01,19.644973233054053,0.605760609221595,2.7062760977843103
2014-07-01,-8.485479920521543,1.6309608101328976,1.3986769596484594
2014-04-01,-5.435608246562973,1.8651871542641365,0.0320257487019581
2014-01-01,-10.051658384966167,0.0332654355489125,-1.672905620569265
2013-10-01,19.19049330845881,1.4048795322923358,2.910926303253225
2013-07-01,-9.268276109941851,1.3458976188627236,2.3455103635696477
2013-04-01,-5.717938257566058,0.4835240637885762,0.5919861876840127
2013-01-01,-9.802973410433625,1.3871144213798423,-3.508581316271297
2012-10-01,17.27498578597384,0.6181423852545942,2.535907476099508
2012-07-01,-9.039074644955605,0.6936829904643727,3.064826154997613
2012-04-01,-4.901889787500291,0.8607360659364405,-1.4444768093680338
2012-01-01,-10.632756779972064,1.4300107074376234,-2.078083574788025
2011-10-01,17.59962712257237,1.2435006339597932,1.8504817438919965
2011-07-01,-8.296301556167906,0.5794039789969396,3.033265573318622
2011-04-01,-6.057337814924201,1.3424857381531652,-1.2575005634725245
2011-01-01,-12.133303166888007,0.274170098855131,-2.6165066033868034
2010-10-01,14.202081173620362,1.108647186523859,1.3292096710232348
2010-07-01,-11.183855404721276,1.077516157502112,3.6720337250227386
2010-04-01,-6.2439307045714765,1.4601333865235766,0.0019577602352827
2010-01-01,-11.923915472372691,,
