Date,Internet Retail Sales
2010-01-01,
2010-04-01,2.653080842064792
2010-07-01,8.118737709523337
2010-10-01,40.73272128875802
2011-01-01,-21.053603298664537
2011-04-01,-1.3408169628936761
2011-07-01,5.86283185840708
2011-10-01,40.50604567845948
2012-01-01,-20.70650730411686
2012-04-01,2.4050378508742476
2012-07-01,-0.5822321078110648
2012-10-01,39.01427913403961
2013-01-01,-18.872479409258723
2013-04-01,1.8145749460295235
2013-07-01,1.2263610315186302
2013-10-01,38.70018115942029
2014-01-01,-22.599999999999998
2014-04-01,6.296472077202964
2014-07-01,-1.1211985910601685
2014-10-01,40.45958557021725
2015-01-01,-22.50044650830506
2015-04-01,4.521570796460184
2015-07-01,-1.4640384530581585
2015-10-01,39.776236294473044
2016-01-01,-21.794256075304975
2016-04-01,8.204372390076141
2016-07-01,3.4544078698448777
2016-10-01,47.858684123907366
2017-01-01,-27.02020826634346
2017-04-01,7.259786476868313
2017-07-01,1.488292729168661
2017-10-01,37.91954667164828
2018-01-01,-23.324378626092056
2018-04-01,8.658913587516581
2018-07-01,-0.8806156180566793
2018-10-01,36.803258522183626
2019-01-01,-22.726001119015248
2019-04-01,5.510589330506055
2019-07-01,-0.0882309690701466
2019-10-01,30.922827846735036
2020-01-01,-20.538859326987946
2020-04-01,50.11789672247111
2020-07-01,-0.4460849760464902
2020-10-01,38.342721004717475
